dimension,dsp_type,r2_linear
990,tempo,0.015779
991,tempo,0.014496
992,tempo,0.011259
993,tempo,0.008121
994,tempo,0.015465
995,tempo,0.016531
996,tempo,0.014569
997,tempo,0.019679
998,tempo,0.016368
999,tempo,0.009106
1000,tempo,0.018164
1001,tempo,0.014527
1002,tempo,0.010916
1003,tempo,0.013455
1004,tempo,0.012133
1005,tempo,0.017512
1006,tempo,0.015124
1007,tempo,0.011039
1008,tempo,0.017700
1009,tempo,0.007432
1010,tempo,0.028535
1011,tempo,0.023400
1012,tempo,0.013256
1013,tempo,0.013393
1014,tempo,0.025134
1015,tempo,0.008456
1016,tempo,0.011693
1017,tempo,0.023545
1018,tempo,0.018564
1019,tempo,0.012439
1020,tempo,0.018558
1021,tempo,0.012902
1022,tempo,0.004591
1023,tempo,0.019777
