final_mod_type,negative_tier,cosine_distance,euclidean_distance,manhattan_distance,pearson_distance
mgeldm_other_pitchU4,N/A,0.7515,24.0759,434.7838,0.7513
mgeldm_other_pitchU4_tempo110,N/A,0.7948,24.5465,443.1435,0.7947
mgeldm_other_tempo090,N/A,0.7159,23.7828,429.9316,0.7158
mgeldm_other_tempo095,N/A,0.7085,23.6951,428.1203,0.7083
mgeldm_other_tempo105,N/A,0.7072,23.6192,426.6305,0.7071
mgeldm_other_tempo110,N/A,0.719,23.6934,428.0284,0.7189
mgeldm_vocals,N/A,0.5257,20.729,370.3074,0.5259
musicgen_none,N/A,0.7059,23.4597,423.9593,0.7058
musicgen_pitchD2,N/A,0.7735,24.4688,442.313,0.7733
musicgen_pitchD4,N/A,0.7924,24.7272,446.9427,0.7923
musicgen_pitchD4_tempo090,N/A,0.8322,25.4329,459.773,0.8321
musicgen_pitchU2,N/A,0.7741,24.3863,440.7153,0.774
musicgen_pitchU4,N/A,0.7835,24.4794,442.6812,0.7834
musicgen_pitchU4_tempo110,N/A,0.8094,24.727,447.0073,0.8092
musicgen_tempo090,N/A,0.7811,25.0144,452.3754,0.781
musicgen_tempo095,N/A,0.7747,24.9105,450.3584,0.7746
musicgen_tempo105,N/A,0.7722,24.7796,448.1091,0.772
musicgen_tempo110,N/A,0.7762,24.7454,446.9986,0.7761
none_pitchD2,N/A,0.4149,17.1538,310.1772,0.4148
none_pitchD4,N/A,0.5022,19.1791,346.7993,0.5021
none_pitchD4_tempo090,N/A,0.5969,21.601,390.4001,0.5967
none_pitchU2,N/A,0.3748,16.2077,292.8919,0.3748
none_pitchU4,N/A,0.3986,16.7935,303.5276,0.3986
none_pitchU4_tempo110,N/A,0.5374,20.2457,365.8426,0.5374
none_tempo090,N/A,0.4003,16.9995,307.3587,0.4002
none_tempo095,N/A,0.3989,16.9521,306.3889,0.3988
none_tempo105,N/A,0.4029,17.0691,308.5887,0.4028
none_tempo110,N/A,0.4175,17.409,314.803,0.4174
smp_pitchD2,N/A,0.8263,25.9448,468.6359,0.8262
smp_pitchD4,N/A,0.8206,25.8365,466.8292,0.8204
smp_pitchD4_tempo090,N/A,0.8439,26.4588,478.0464,0.8437
smp_pitchU2,N/A,0.8258,25.9587,468.8754,0.8256
smp_pitchU4,N/A,0.8222,25.7933,465.9118,0.822
smp_pitchU4_tempo110,N/A,0.8292,26.0291,470.2707,0.829
smp_tempo090,N/A,0.8332,26.3662,476.1752,0.833
smp_tempo095,N/A,0.8325,26.2419,473.8281,0.8323
smp_tempo105,N/A,0.8319,26.3195,475.5213,0.8317
smp_tempo110,N/A,0.8345,26.2752,474.6591,0.8343
